ID,Name,DIESEL,DEF
74373,loves,5.389,4.089
74371,loves,5.349,4.089
74369,loves,5.389,4.189
74367,loves,5.449,4.089
74365,loves,5.349,4.149
74363,loves,4.849,4.189
74361,loves,4.849,4.189
74359,loves,4.489,4.289
74357,loves,4.789,3.979
74355,loves,4.849,4.189
74353,loves,4.489,4.289
74351,loves,4.949,4.289
74349,loves,4.849,4.189
74347,loves,4.489,4.289
74345,loves,4.849,4.189
74343,loves,4.949,4.289
74341,loves,4.949,4.289
74339,loves,4.989,4.189
74337,loves,4.529,4.189
74335,loves,4.889,4.289
74333,loves,4.989,4.189
74331,loves,5.189,4.149
74329,loves,4.889,4.189
74327,loves,4.989,4.289
74325,loves,4.549,4.189
74323,loves,5.089,4.189
74321,loves,4.489,4.289
74319,loves,4.649,4.189
74317,loves,4.889,4.289
74315,loves,4.949,4.189
74313,loves,4.449,4.289
74311,loves,5.349,4.149
74309,loves,4.729,4.189
74305,loves,4.889,4.289
74303,loves,4.889,4.189
74301,loves,4.989,4.189
74299,loves,4.989,4.189
74297,loves,4.889,4.189
74295,loves,4.649,4.289
74293,loves,4.589,4.189
74291,loves,4.649,4.189
74289,loves,4.789,4.249
74287,loves,4.989,4.189
74285,loves,4.649,4.189
74283,loves,4.989,4.149
74281,loves,5.049,4.289
74279,loves,5.089,4.189
74277,loves,5.089,4.249
74275,loves,4.989,4.189
74273,loves,4.889,4.189
74271,loves,4.949,4.189
74269,loves,4.549,4.249
74267,loves,4.589,4.289
74265,loves,4.989,4.189
74263,loves,5.049,4.089
74261,loves,4.989,4.089
74259,loves,4.989,4.189
74257,loves,4.849,4.289
74255,loves,4.789,4.249
74253,loves,5.089,4.189
74251,loves,4.989,4.239
74249,loves,4.689,4.149
74247,loves,4.689,4.149
74245,loves,4.989,4.189
74243,loves,4.589,4.189
74241,loves,4.889,4.089
74239,loves,4.859,3.989
74237,loves,4.889,4.149
74235,loves,5.189,4.189
74233,loves,4.849,4.089
74231,loves,4.849,4.089
74229,loves,4.749,4.189
74227,loves,4.949,4.289
74225,loves,4.589,4.089
74223,loves,4.689,4.089
74221,loves,4.689,4.089
74219,loves,4.989,4.089
74217,loves,4.549,4.189
74215,loves,4.889,4.089
74213,loves,4.889,4.089
74211,loves,4.889,4.189
74209,loves,4.789,4.089
74207,loves,4.889,3.989
74205,loves,4.849,4.189
74201,loves,5.249,4.189
74199,loves,5.189,4.189
74197,loves,5.349,4.089
74195,loves,4.889,3.989
74193,loves,5.389,4.489
74191,loves,5.389,4.389
74189,loves,4.689,4.189
74187,loves,4.849,3.989
74185,loves,4.899,3.989
73885,loves,5.449,4.089
73883,loves,5.349,4.089
73879,loves,4.789,4.189
73877,loves,4.789,4.249
73874,loves,4.849,4.289
73868,loves,4.729,4.089
73854,loves,5.249,4.189
73851,loves,5.459,4.089
73849,loves,4.989,4.189
73839,loves,4.829,4.289
73835,loves,5.049,4.249
73827,loves,4.789,4.189
73823,loves,5.089,4.189
73821,loves,4.889,4.089
73819,loves,5.249,4.189
73811,loves,5.149,3.989
73809,loves,6.289,3.989
73807,loves,5.189,4.189
73803,loves,4.989,4.149
73801,loves,5.389,4.189
73795,loves,4.549,4.149
73793,loves,5.389,4.189
73791,loves,5.289,4.089
73789,loves,4.589,4.189
73783,loves,4.949,4.089
73781,loves,5.149,4.249
73775,loves,4.989,4.249
73773,loves,5.049,4.189
73771,loves,5.249,4.289
73769,loves,5.089,4.389
73767,loves,5.089,4.289
73765,loves,5.389,4.289
73761,loves,5.289,4.089
73759,loves,4.949,4.089
73757,loves,5.449,4.189
73753,loves,4.539,3.979
73749,loves,5.249,4.189
73747,loves,4.889,4.189
73745,loves,4.789,3.989
73737,loves,5.489,4.189
73735,loves,4.549,4.089
73728,loves,4.889,4.089
73724,loves,5.289,4.289
73722,loves,4.389,4.189
73720,loves,4.749,4.089
73711,loves,5.089,4.089
73709,loves,4.849,4.189
73705,loves,5.049,4.189
73703,loves,4.989,4.089
73701,loves,5.149,4.089
73691,loves,5.089,4.289
73685,loves,4.789,4.149
73683,loves,5.149,4.089
73681,loves,5.339,4.249
73677,loves,5.189,4.289
73675,loves,4.989,4.189
73671,loves,5.349,4.189
73669,loves,4.589,4.189
73667,loves,4.889,3.989
73665,loves,5.089,4.089
73663,loves,4.749,3.989
73659,loves,5.089,4.189
73657,loves,5.089,4.189
73653,loves,4.949,3.989
73651,loves,5.089,4.389
73647,loves,4.749,4.289
73645,loves,5.089,4.189
73643,loves,5.149,4.289
73639,loves,4.949,4.289
73637,loves,4.989,4.189
73635,loves,5.089,4.389
73633,loves,4.849,4.089
73625,loves,4.489,4.149
73623,loves,5.189,4.149
73621,loves,5.089,4.089
73613,loves,4.889,4.089
73611,loves,5.589,4.289
73609,loves,5.249,4.089
73607,loves,4.949,4.189
73602,loves,5.049,4.149
73598,loves,4.949,4.189
73596,loves,4.849,4.049
73594,loves,5.249,3.989
73592,loves,5.389,4.089
73586,loves,5.389,4.089
73584,loves,5.189,4.189
73582,loves,5.149,4.249
73576,loves,4.889,4.289
73574,loves,4.849,3.989
73572,loves,5.389,4.089
73570,loves,4.989,4.149
73568,loves,4.739,4.189
73564,loves,4.649,4.149
73562,loves,4.989,4.149
73560,loves,5.649,4.449
73558,loves,5.149,3.989
73556,loves,4.849,4.189
73554,loves,4.989,4.089
73552,loves,4.829,4.289
73538,loves,5.089,4.089
73536,loves,4.889,4.089
73531,loves,5.189,4.289
73528,loves,5.089,4.349
73526,loves,4.889,4.089
73522,loves,5.089,4.189
73518,loves,5.389,4.089
73514,loves,4.889,4.189
73512,loves,5.389,4.089
73506,loves,6.289,4.189
73504,loves,4.789,4.189
73496,loves,4.849,4.089
73488,loves,5.089,4.189
73473,loves,4.689,4.089
73469,loves,5.489,4.439
73465,loves,4.689,4.249
73463,loves,4.599,4.089
73446,loves,4.989,4.089
73444,loves,5.089,4.289
73442,loves,4.949,4.089
73436,loves,4.949,4.089
73434,loves,4.749,4.189
73432,loves,4.789,4.049
73430,loves,5.189,4.249
73428,loves,4.589,4.089
73426,loves,5.289,4.089
73421,loves,4.749,3.989
73419,loves,4.989,4.189
73415,loves,5.389,4.089
73411,loves,4.989,4.189
73409,loves,4.889,3.989
73407,loves,5.449,4.589
73405,loves,4.989,4.089
73397,loves,5.149,4.089
73395,loves,4.989,4.249
73393,loves,4.889,3.989
73391,loves,5.099,4.299
73389,loves,5.149,4.299
73387,loves,5.089,4.289
73385,loves,5.389,4.089
73373,loves,6.289,4.289
73371,loves,5.489,4.189
73367,loves,4.689,4.149
73365,loves,4.549,4.289
73363,loves,4.849,4.189
73361,loves,4.989,4.289
73357,loves,5.389,4.089
73355,loves,5.149,4.089
73353,loves,5.289,4.189
73351,loves,4.649,4.149
73349,loves,5.189,4.049
73347,loves,4.989,4.189
73345,loves,4.989,4.189
73343,loves,4.489,4.189
73341,loves,4.989,4.189
73335,loves,5.129,4.189
73329,loves,5.049,4.189
73325,loves,5.289,4.389
73320,loves,6.149,4.189
73318,loves,5.389,4.089
73314,loves,4.989,4.189
73310,loves,4.639,4.189
73308,loves,4.949,4.149
73300,loves,5.089,4.249
73298,loves,4.949,4.249
73296,loves,6.189,4.189
73292,loves,4.589,4.149
73290,loves,4.889,4.189
73288,loves,4.489,4.249
73286,loves,4.889,4.189
73278,loves,4.689,4.089
73274,loves,5.089,4.389
73272,loves,5.189,4.289
73270,loves,4.989,4.149
73268,loves,4.889,4.089
73266,loves,5.389,4.289
73261,loves,4.789,4.189
73257,loves,4.989,4.299
73254,loves,5.289,4.089
73252,loves,6.189,4.189
73250,loves,5.149,4.289
73248,loves,4.589,4.189
73241,loves,4.789,3.989
73239,loves,5.349,4.189
73237,loves,5.189,4.189
73235,loves,5.049,4.189
73233,loves,6.189,4.289
73229,loves,4.949,4.089
73225,loves,4.949,4.089
73223,loves,5.389,3.989
73219,loves,4.889,4.149
73213,loves,4.989,4.249
